REGION,TECHNOLOGY,VALUE
REGION1,FIBMCCPH1,31.536
REGION1,FIBMCHPH3,31.536
REGION1,FIBMCSPN2,31.536
REGION1,FIBMSTPH3,31.536
REGION1,FICOCHPH3,31.536
REGION1,FICOCSPN2,31.536
REGION1,FICOSTPH1,31.536
REGION1,FICOSTPH3,31.536
REGION1,FIELNOPH1,31.536
REGION1,FIELSEPH1,31.536
REGION1,FIGOCVPH2,31.536
REGION1,FIHFCCPH2,31.536
REGION1,FIHFCHPH3,31.536
REGION1,FIHFGCPH3,31.536
REGION1,FIHFGCPN3,31.536
REGION1,FIHFHPFH1,31.536
REGION1,FIHFHPPH2,31.536
REGION1,FIHFSTPH2,31.536
REGION1,FIHFSTPH3,31.536
REGION1,FIHYDMPH0,31.536
REGION1,FIHYDMPH1,31.536
REGION1,FIHYDMPH2,31.536
REGION1,FIHYDMPH3,31.536
REGION1,FINGCCPH2,31.536
REGION1,FINGCHPH3,31.536
REGION1,FINGCHPN3,31.536
REGION1,FINGCSPN2,31.536
REGION1,FINGFCFH1,31.536
REGION1,FINGGCPH2,31.536
REGION1,FINGGCPN2,31.536
REGION1,FINGHPFH1,31.536
REGION1,FINGHPPH2,31.536
REGION1,FINGSTPH2,31.536
REGION1,FINUG2PH3,31.536
REGION1,FINUG3PN3,31.536
REGION1,FIOCWVPH1,31.536
REGION1,FISODIFH1,31.536
REGION1,FISOUTPH2,31.536
REGION1,FIWIOFPH3,31.536
REGION1,FIWIOFPN2,31.536
REGION1,FIWIOFPN3,31.536
REGION1,FIWIONPH3,31.536
REGION1,FIWIONPN3,31.536
REGION1,FIWSCHPH2,31.536
REGION1,FIWSSTPH1,31.536
REGION1,FRBFHPFH1,31.536
REGION1,FRBMCCPH1,31.536
REGION1,FRBMCHPH3,31.536
REGION1,FRBMCSPN2,31.536
REGION1,FRBMSTPH3,31.536
REGION1,FRCOCHPH3,31.536
REGION1,FRCOCSPN2,31.536
REGION1,FRCOSTPH1,31.536
REGION1,FRCOSTPH3,31.536
REGION1,FRELITPH1,31.536
REGION1,FRELUKPH1,31.536
REGION1,FRGOCVPH2,31.536
REGION1,FRHFCCPH2,31.536
REGION1,FRHFCHPH3,31.536
REGION1,FRHFGCPH3,31.536
REGION1,FRHFGCPN3,31.536
REGION1,FRHFHPFH1,31.536
REGION1,FRHFHPPH2,31.536
REGION1,FRHFSTPH2,31.536
REGION1,FRHFSTPH3,31.536
REGION1,FRHYDMPH0,31.536
REGION1,FRHYDMPH1,31.536
REGION1,FRHYDMPH2,31.536
REGION1,FRHYDMPH3,31.536
REGION1,FRHYDSPH2,31.536
REGION1,FRHYDSPH3,31.536
REGION1,FRNGCCPH2,31.536
REGION1,FRNGCHPH3,31.536
REGION1,FRNGCHPN3,31.536
REGION1,FRNGCSPN2,31.536
REGION1,FRNGFCFH1,31.536
REGION1,FRNGGCPH2,31.536
REGION1,FRNGGCPN2,31.536
REGION1,FRNGHPFH1,31.536
REGION1,FRNGHPPH2,31.536
REGION1,FRNGSTPH2,31.536
REGION1,FRNUG2PH3,31.536
REGION1,FRNUG3PN3,31.536
REGION1,FROCWVPH1,31.536
REGION1,FRSODIFH1,31.536
REGION1,FRSOUTPH2,31.536
REGION1,FRWIOFPH3,31.536
REGION1,FRWIOFPN2,31.536
REGION1,FRWIOFPN3,31.536
REGION1,FRWIONPH3,31.536
REGION1,FRWIONPN3,31.536
REGION1,FRWSCHPH2,31.536
REGION1,FRWSSTPH1,31.536
REGION1,GRBFHPFH1,31.536
REGION1,GRBMCCPH1,31.536
REGION1,GRBMCHPH3,31.536
REGION1,GRBMCSPN2,31.536
REGION1,GRBMSTPH3,31.536
REGION1,GRCOCHPH3,31.536
REGION1,GRCOCSPN2,31.536
REGION1,GRCOSTPH1,31.536
REGION1,GRCOSTPH3,31.536
REGION1,GRELITPH1,31.536
REGION1,GRGOCVPH2,31.536
REGION1,GRHFCCPH2,31.536
REGION1,GRHFCHPH3,31.536
REGION1,GRHFGCPH3,31.536
REGION1,GRHFGCPN3,31.536
REGION1,GRHFHPFH1,31.536
REGION1,GRHFHPPH2,31.536
REGION1,GRHFSTPH2,31.536
REGION1,GRHFSTPH3,31.536
REGION1,GRHYDMPH0,31.536
REGION1,GRHYDMPH1,31.536
REGION1,GRHYDMPH2,31.536
REGION1,GRHYDMPH3,31.536
REGION1,GRHYDSPH2,31.536
