REGION,TECHNOLOGY,VALUE
REGION1,ESNGGCPH2,25.0
REGION1,ESNGGCPN2,25.0
REGION1,ESNGHPFH1,20.0
REGION1,ESNGHPPH2,20.0
REGION1,ESNGSTPH2,30.0
REGION1,ESNUG2PH3,50.0
REGION1,ESNUG3PN3,60.0
REGION1,ESOCWVPH1,25.0
REGION1,ESSODIFH1,25.0
REGION1,ESSOUTPH2,25.0
REGION1,ESWIOFPN3,25.0
REGION1,ESWIONPH3,25.0
REGION1,ESWIONPN3,25.0
REGION1,ESWSCHPH2,25.0
REGION1,ESWSSTPH1,30.0
REGION1,FIBFHPFH1,20.0
REGION1,FIBMCCPH1,30.0
REGION1,FIBMCHPH3,25.0
REGION1,FIBMCSPN2,35.0
REGION1,FIBMSTPH3,30.0
REGION1,FICOCHPH3,25.0
REGION1,FICOCSPN2,40.0
REGION1,FICOSTPH1,30.0
REGION1,FICOSTPH3,30.0
REGION1,FIGOCVPH2,40.0
REGION1,FIHFCCPH2,30.0
REGION1,FIHFCHPH3,25.0
REGION1,FIHFGCPH3,25.0
REGION1,FIHFGCPN3,25.0
REGION1,FIHFHPFH1,20.0
REGION1,FIHFHPPH2,20.0
REGION1,FIHFSTPH2,30.0
REGION1,FIHFSTPH3,30.0
REGION1,FIHYDMPH0,80.0
REGION1,FIHYDMPH1,80.0
REGION1,FIHYDMPH2,80.0
REGION1,FIHYDMPH3,80.0
REGION1,FINGCCPH2,30.0
REGION1,FINGCHPH3,25.0
REGION1,FINGCHPN3,25.0
REGION1,FINGCSPN2,30.0
REGION1,FINGFCFH1,5.0
REGION1,FINGGCPH2,25.0
REGION1,FINGGCPN2,25.0
REGION1,FINGHPFH1,20.0
REGION1,FINGHPPH2,20.0
REGION1,FINGSTPH2,30.0
REGION1,FINUG2PH3,50.0
REGION1,FINUG3PN3,60.0
REGION1,FIOCWVPH1,25.0
REGION1,FISODIFH1,25.0
REGION1,FISOUTPH2,25.0
REGION1,FIWIOFPH3,25.0
REGION1,FIWIOFPN2,25.0
REGION1,FIWIOFPN3,25.0
REGION1,FIWIONPH3,25.0
REGION1,FIWIONPN3,25.0
REGION1,FIWSCHPH2,25.0
REGION1,FIWSSTPH1,30.0
REGION1,FRBFHPFH1,20.0
REGION1,FRBMCCPH1,30.0
REGION1,FRBMCHPH3,25.0
REGION1,FRBMCSPN2,35.0
REGION1,FRBMSTPH3,30.0
REGION1,FRCOCHPH3,25.0
REGION1,FRCOCSPN2,40.0
REGION1,FRCOSTPH1,30.0
REGION1,FRCOSTPH3,30.0
REGION1,FRGOCVPH2,40.0
REGION1,FRHFCCPH2,30.0
REGION1,FRHFCHPH3,25.0
REGION1,FRHFGCPH3,25.0
REGION1,FRHFGCPN3,25.0
